Season,Rk,ID,Name,TGTS,REC,YDS,TD,HOG_RATE,SNAP_SHARE,AVG_TGT_DIST,TOT_AIR_YARDS,AY/GAME,AY/REC,TOT_TGTS,Redzone_Tgts,Endzone_Tgts,Tgt_Accuracy,Tgt_Share,FP/TGT
2017,190,14920,C. Hamilton,6,1,8,0,12,48.5,16.17,97,48.5,97,6,0,0,,11.5,0.3
2017,191,3601,E. Weems,2,1,5,0,16.7,2.8,-0.5,-1,-0.1,-1,2,0,0,,0.9,0.75
2017,192,17237,L. Pinkard,1,1,5,0,50,3,5,5,5,5,1,0,0,,3.7,1.5
2017,193,18660,M. McCaffrey,1,1,4,0,16.7,5.4,-1,-1,-0.5,-1,1,0,0,,2,1.4
2017,194,18157,C. Peake,1,1,3,0,16.7,12.2,3,3,3,3,1,0,0,,4,1.3
2017,195,16012,M. Hazel,1,1,1,0,33.3,6.7,1,1,1,1,1,0,0,,4.8,1.1
2017,196,11565,A. Roberts,4,1,12,0,11.1,3.8,7.5,30,1.9,30,4,1,0,,0.8,0.05
2017,197,18422,K. Raymond,1,1,12,0,3.4,5.7,4,4,0.5,4,1,0,0,,0.3,0.1
2017,198,13117,D. Harris,0,0,0,0,0,2.6,,0,0,,0,0,0,,0,
2017,199,18116,C. Core,4,0,0,0,10.3,14.4,32.5,130,26,,4,0,0,,2.5,0
2017,200,18221,R. Scott,0,0,0,0,,0,,0,0,,0,0,0,,0,
2017,201,18506,E. Eagan,1,0,0,0,25,1.7,-2,-2,-0.5,,1,0,0,,0.8,0
2017,202,18654,K. Brent,1,0,0,0,11.1,14.8,13,13,13,,1,0,0,,4.2,0
2017,203,18711,M. Bundy,3,0,0,0,5.1,81.9,8.67,26,26,,3,1,1,,10.7,0
2017,204,19100,S. Coley,1,0,0,0,7.1,9.5,0,0,0,,1,0,0,,1.3,0
2017,205,19314,I. Whitney,1,0,0,0,4.5,33.8,51,51,51,,1,0,0,,2.9,0
2017,206,19317,V. Bolden,0,0,0,0,0,3.1,,0,0,,0,0,0,,0,
2017,207,18881,J. Ross,2,0,0,0,,0,0,0,0,,2,0,0,,2.1,-0.4
