Season,Rk,ID,Name,Age,TGTS,REC,YDS,TD,Cushion,TGT_SEP,True_Catch_Rate,Contested_TGTS,Contested_REC,Contested_Rate,Y/REC,Y/TGT,Y/ROUTE,Total_Drops,Drop_Rate
2019,183,14850,R. Shepard,31.7,8,3,25,0,,1.81,100,1,0,0,8.3,3.1,,0,0
2019,184,16411,R. Grant,31.5,9,4,14,0,,0.78,57.1,3,1,33.3,3.5,1.6,,2,22.2
2019,185,21106,I. Hyman,26.8,4,2,34,0,,2.75,66.7,0,0,,17,8.5,,1,25
2019,186,18030,C. Moore,29,5,3,21,0,,2.4,75,0,0,,7,4.2,,0,0
2019,187,19200,C. Board,28.5,4,2,31,0,,2,66.7,0,0,,15.5,7.8,,1,25
2019,188,16258,M. Lee,30.5,4,3,18,0,,1.75,100,0,0,,6,4.5,,0,0
2019,189,20886,S. Morgan,25.8,10,3,18,0,,0.85,42.9,3,0,0,6,1.8,,1,10
2019,190,20117,D. Scott,26.8,3,2,22,0,,0.67,100,0,0,,11,7.3,,0,0
2019,191,20529,C. Sims,26.4,3,2,27,0,,1,100,2,1,50,13.5,9,,0,0
2019,192,19348,J. Wilson,27.4,10,3,35,0,,0.95,60,3,0,0,11.7,3.5,,0,0
2019,193,19671,F. Brown,28.5,3,2,21,0,,1.33,100,0,0,,10.5,7,,0,0
2019,194,14795,J. Bellamy,33.1,3,2,20,0,,4,66.7,0,0,,10,6.7,,1,33.3
2019,195,17070,D. Jennings,29.9,5,2,17,0,,0.6,66.7,1,0,0,8.5,3.4,,0,0
2019,196,19131,R. Davis,27.2,5,2,17,0,,1,40,3,0,0,8.5,3.4,,0,0
2019,197,21349,A. Dulin,25.1,2,2,17,0,,0.5,100,0,0,,8.5,8.5,,0,0
2019,198,8662,M. Thomas,35,5,2,14,0,,0.9,50,0,0,,7,2.8,,1,20
2019,199,21601,G. Olszewski,25.5,4,2,34,0,,1.5,66.7,1,0,0,17,8.5,,0,0
2019,200,19280,C. Hollister,28.6,2,2,13,0,,3,100,0,0,,6.5,6.5,,0,0
2019,201,21078,J. Smith,25.1,2,1,12,0,,4.5,100,0,0,,12,6,,0,0
2019,202,16305,D. Thomas,29.4,2,1,6,0,,1.5,50,0,0,,6,3,,1,50
2019,203,20970,J. Ursua,28.4,1,1,11,0,,0,100,0,0,,11,11,,0,0
2019,204,19276,A. Carr,28.5,4,1,9,0,,1.75,50,1,0,0,9,2.2,,1,25
2019,205,13117,D. Harris,34.7,1,1,7,0,,3,100,0,0,,7,7,,0,0
2019,206,19044,J. Agnew,27.2,2,1,-2,0,,0,,0,0,,-2,-1,,0,0
2019,207,19925,J. Scott,27.3,3,1,6,0,,1.33,50,1,0,0,6,2,,0,0
2019,208,19403,K. Hogan,27.1,1,1,4,0,,1,100,0,0,,4,4,,0,0
2019,209,18896,C. Grayson Jr.,28.5,1,1,3,0,,2,100,0,0,,3,3,,0,0
2019,210,16063,Q. Enunwa,30,3,1,-4,0,,0.33,100,0,0,,-4,-1.3,,0,0
2019,211,7651,M. Slater,36.7,0,0,0,0,,,,0,0,,,,,0,
2019,212,18673,J. Mickens,28.1,0,0,0,0,,,,0,0,,,,,0,
2019,213,18971,T. Taylor,27.3,1,0,0,0,,0,,0,0,,,0,,0,0
2019,214,18974,C. Williams,27.6,1,0,0,0,,1,,0,0,,,0,,0,0
2019,215,19184,J. Natson,28.3,0,0,0,0,,,,0,0,,,,,0,
2019,216,20762,T. Fulgham,26.7,3,0,0,0,,0.67,0,0,0,,,0,,1,33.3
2019,217,20816,L. Humphrey,24.1,1,0,0,0,,0,0,1,0,0,,0,,0,0
2019,218,21115,J. Winfree,25.8,0,0,0,0,,,,0,0,,,,,0,
2019,219,21295,N. Webster,26.4,0,0,0,0,,,,0,0,,,,,0,
2019,220,21434,S. Schnell,27.5,0,0,0,0,,,,0,0,,,,,0,
2019,221,21448,J. Guyton,25,2,0,0,0,,0.5,0,1,0,0,,0,,1,50
2019,222,21254,M. Walker,25.6,3,2,15,0,,1,200,0,0,,7.5,5,,0,0
2019,223,21513,D. Shepherd,26.6,2,1,1,0,,3,50,0,0,,1,0.5,,1,50
